eventID,specificEpithet,scientificName,scientificNameID,scientificAuthorityName,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,preservation
IYS2019-Kaganovsky-1-1,scrippsae,Pseudosagitta scrippsae,urn:lsid:marinespecies.org:taxname:266259,"(Alvariño, 1962)",NA,NA,Species,unaccepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Pseudosagitta,IYS2019-Kaganovsky-1-1-zoop_occ-58,present,formalin
IYS2019-Kaganovsky-2-1,digitale,Aglantha digitale,urn:lsid:marinespecies.org:taxname:117849,"(O. F. Müller, 1776)",NA,NA,Species,accepted,NA,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,IYS2019-Kaganovsky-2-1-zoop_occ-59,present,formalin
IYS2019-Kaganovsky-2-1,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,NA,NA,Phylum,accepted,sp. indet.,Animalia,Chaetognatha,NA,NA,NA,NA,IYS2019-Kaganovsky-2-1-zoop_occ-60,present,formalin
IYS2019-Kaganovsky-2-1,limacina,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,"(Phipps, 1774)",NA,NA,Species,accepted,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,IYS2019-Kaganovsky-2-1-zoop_occ-61,present,formalin
IYS2019-Kaganovsky-2-1,NA,Doliolidae,urn:lsid:marinespecies.org:taxname:137215,"Bronn, 1862",NA,NA,Family,accepted,sp. indet.,Animalia,Chordata,Thaliacea,Doliolida,Doliolidae,NA,IYS2019-Kaganovsky-2-1-zoop_occ-62,present,formalin
IYS2019-Kaganovsky-2-1,nodifrons,Euaugaptilus nodifrons,urn:lsid:marinespecies.org:taxname:104406,"(Sars G.O., 1905)",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Augaptilidae,Euaugaptilus,IYS2019-Kaganovsky-2-1-zoop_occ-63,present,formalin
IYS2019-Kaganovsky-2-1,bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",C5,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,IYS2019-Kaganovsky-2-1-zoop_occ-64,present,formalin
IYS2019-Kaganovsky-2-1,bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,IYS2019-Kaganovsky-2-1-zoop_occ-65,present,formalin
IYS2019-Kaganovsky-2-1,bungii,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",C6,M,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,IYS2019-Kaganovsky-2-1-zoop_occ-66,present,formalin
IYS2019-Kaganovsky-2-1,hamata,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,"(Möbius, 1875)",NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,IYS2019-Kaganovsky-2-1-zoop_occ-67,present,formalin
IYS2019-Kaganovsky-2-1,pacifica,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",NA,NA,Species,accepted,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,IYS2019-Kaganovsky-2-1-zoop_occ-68,present,formalin
IYS2019-Kaganovsky-2-1,labradoriensis,Oikopleura (Vexillaria) labradoriensis,urn:lsid:marinespecies.org:taxname:103413,"Lohmann, 1892",NA,NA,Species,accepted,NA,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,IYS2019-Kaganovsky-2-1-zoop_occ-69,present,formalin
IYS2019-Kaganovsky-2-1,elongata,Paraeuchaeta elongata,urn:lsid:marinespecies.org:taxname:196779,"(Esterly, 1913)",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta,IYS2019-Kaganovsky-2-1-zoop_occ-70,present,formalin
IYS2019-Kaganovsky-2-1,elongata,Paraeuchaeta elongata,urn:lsid:marinespecies.org:taxname:196779,"(Esterly, 1913)",C5,M,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta,IYS2019-Kaganovsky-2-1-zoop_occ-71,present,formalin
IYS2019-Kaganovsky-2-1,elegans,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,"(Verrill, 1873)",NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,IYS2019-Kaganovsky-2-1-zoop_occ-72,present,formalin
IYS2019-Kaganovsky-2-1,scrippsae,Pseudosagitta scrippsae,urn:lsid:marinespecies.org:taxname:266259,"(Alvariño, 1962)",NA,NA,Species,unaccepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Pseudosagitta,IYS2019-Kaganovsky-2-1-zoop_occ-73,present,formalin
IYS2019-Kaganovsky-2-1,challengeri,Streetsia challengeri,urn:lsid:marinespecies.org:taxname:236592,"Stebbing, 1888",NA,NA,Species,accepted,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Oxycephalidae,Streetsia,IYS2019-Kaganovsky-2-1-zoop_occ-74,present,formalin
IYS2019-Kaganovsky-2-1,longipes,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,"(Brandt, 1851)",NA,NA,Species,accepted,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,IYS2019-Kaganovsky-2-1-zoop_occ-75,present,formalin
