eventID,verbatimIdentification,scientificName,scientificNameID,scientificNameAuthorship,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,identificationRemarks,previousIdentifications,specificEpithet,occurrenceID,occurrenceStatus,basisOfRecord
IYS2019-Kaganovsky-1-Bongo-1,Paracalanus sp.,"Paracalanus (Boeck, 1865)",urn:lsid:marinespecies.org:taxname:104196,"Boeck, 1865",C4,,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-39,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Paracalanus sp.,"Paracalanus (Boeck, 1865)",urn:lsid:marinespecies.org:taxname:104196,"Boeck, 1865",C5,,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-40,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Paraeuchaeta sp.,"Paraeuchaeta (Scott A., 1909)",urn:lsid:marinespecies.org:taxname:196874,"Scott A., 1909",C1,,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-41,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Parasagitta elegans,"Parasagitta elegans (Verrill, 1873)",urn:lsid:marinespecies.org:taxname:105440,"Verrill, 1873",,,Species,accepted,,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,,,elegans,IYS2019-Kaganovsky-1-Bongo-1-42,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Parasagitta elegans,"Parasagitta elegans (Verrill, 1873)",urn:lsid:marinespecies.org:taxname:105440,"Verrill, 1873",,,Species,accepted,,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,,,elegans,IYS2019-Kaganovsky-1-Bongo-1-43,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Pseudocalanus moultoni,"Pseudocalanus moultoni (Frost, 1989)",urn:lsid:marinespecies.org:taxname:157678,"Frost, 1989",C6,F,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,,,moultoni,IYS2019-Kaganovsky-1-Bongo-1-44,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Pseudocalanus moultoni,"Pseudocalanus moultoni (Frost, 1989)",urn:lsid:marinespecies.org:taxname:157678,"Frost, 1989",C6,M,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,,,moultoni,IYS2019-Kaganovsky-1-Bongo-1-45,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Pseudocalanus newmani,"Pseudocalanus newmani (Frost, 1989)",urn:lsid:marinespecies.org:taxname:157679,"Frost, 1989",C6,F,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,,,newmani,IYS2019-Kaganovsky-1-Bongo-1-46,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Pseudocalanus newmani,"Pseudocalanus newmani (Frost, 1989)",urn:lsid:marinespecies.org:taxname:157679,"Frost, 1989",C6,M,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,,,newmani,IYS2019-Kaganovsky-1-Bongo-1-47,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Pseudocalanus sp.,"Pseudocalanus (Boeck, 1872)",urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",C3,,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-48,present,PreservedSpecimen
