eventID,lifeStage,sex,scientificName,scientificNameID,identificationQualifier,kingdom,phylum,class,order,family,genus,scientificNameAuthorship,taxonRank,taxonomicStatus,occurrenceRemarks,occurrenceID,occurrenceStatus,preparations,vernacularName,specificEpithet,reproductiveCondition,basisOfRecord
IYS:GoA2020:StnP PRIME:bongo:Net1,C2,NA,Gaetanus,urn:lsid:marinespecies.org:taxname:104121,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Gaetanus,"Giesbrecht, 1888",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:45,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,veliger,NA,Gastropoda,urn:lsid:marinespecies.org:taxname:101,sp. indet.,Animalia,Mollusca,Gastropoda,NA,NA,NA,"Cuvier, 1795",Class,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:46,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Heterostylites longicornis,urn:lsid:marinespecies.org:taxname:104586,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Heterorhabdidae,Heterostylites,"(Giesbrecht, 1889)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:47,present,Formalin,NA,longicornis,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,F,Heterostylites longicornis,urn:lsid:marinespecies.org:taxname:104586,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Heterorhabdidae,Heterostylites,"(Giesbrecht, 1889)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:48,present,Formalin,NA,longicornis,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,"(Phipps, 1774)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:49,present,Formalin,NA,helicina,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,M,Mesocalanus tenuicornis,urn:lsid:marinespecies.org:taxname:104468,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Mesocalanus,"(Dana, 1849)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:50,present,Formalin,NA,tenuicornis,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,"Brodsky, 1950",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:51,present,Formalin,NA,pacifica,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C5,NA,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,"Brodsky, 1950",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:52,present,Formalin,NA,pacifica,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,F,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,"Brodsky, 1950",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:53,present,Formalin,NA,pacifica,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,M,Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,"Brodsky, 1950",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:54,present,Formalin,NA,pacifica,NA,PreservedSpecimen
